按	a
转矩	vrju
专控	vrks
转口	vrkz
转脸	vrlm
转轮	vrly
专名	vrmk
砖坯	vrpi
转天	vrtm
转引	vryb
转赠	vrzg
转租	vrzu
装船	vlir
状的	vlde
壮工	vlgs
装裹	vlgo
壮怀	vlhk
壮阔	vlko
庄浪	vllh
装料	vlln
状貌	vlmc
壮苗	vlmn
撞骗	vlpm
装入	vlru
装设	vlue
壮肾	vluf
撞锁	vlso
撞头	vltz
壮伟	vlww
壮心	vlxb
装熊	vlxs
壮血	vlxt
锥摆	vvbd
追逼	vvbi
追兵	vvbk
追惩	vvig
追肥	vvfw
追根	vvgf
椎弓	vvgs
追怀	vvhk
追还	vvhr
追魂	vvhy
追歼	vvjm
椎孔	vvks
追凉	vvll
追猎	vvlp
缀鳞	vvlb
追命	vvmk
追授	vvuz
追想	vvxl
坠崖	vvya
赘疣	vvyz
追月	vvyt
追赠	vvzg
准话	vyhx
准将	vyjl
准模	vymo
准谱	vypu
准线	vyxm
准信	vyxb
准直	vyvi
桌案	voan
酌办	vobj
拙笨	vobf
着床	voil
酌点	vodm
酌定	vodk
卓方	vofg
卓菲	vofw
卓夫	vofu
卓卡	voka
灼烤	vokc
卓莱	vold
浊浪	volh
浊流	volq
卓迈	vomd
卓尼	voni
擢升	voug
卓舒	vouu
浊水	vouv
卓威	voww
擢用	voys
涿州	vovz
自拔	ziba
紫草	zicc
自测	zice
子层	zicg
紫灯	zidg
紫逗	zidz
自反	zifj
秭归	zigv
自可	zike
紫蔻	zikz
子类	zilw
字量	zill
紫苓	zilk
字码	zima
籽苗	zimn
子囊	zinh
自能	zing
字旁	ziph
字片	zipm
恣情	ziqk
自圈	ziqr
紫杉	ziuj
自伤	ziuh
渍水	ziuv
紫檀	zitj
紫藤	zitg
子图	zitu
自外	ziwd
紫菀	ziwj
自相	zixl
自展	zivj
资政	zivg
子洲	zivz
紫装	zivl
自足	zizu
子座	zizo
纵波	zsbo
总产	zsij
总店	zsdm
宗法	zsfa
纵隔	zsge
总行	zshh
棕黑	zshw
棕红	zshs
棕黄	zshl
宗匠	zsjl
纵酒	zsjq
总科	zske
棕狼	zslh
纵令	zslk
纵模	zsmo
宗亲	zsqb
宗人	zsrf
宗萨	zssa
总社	zsue
鬃刷	zsux
总校	zsxn
棕眼	zsyj
总政	zsvg
总装	zsvl
奏本	zzbf
走笔	zzbi
走查	zzia
邹城	zzig
走调	zzdn
走访	zzfg
奏捷	zzjp
走口	zzkz
走马	zzma
邹平	zzpk
走色	zzud
奏疏	zzuu
走水	zzuv
走脱	zzto
走形	zzxk
走穴	zzxt
奏议	zzyi
走嘴	zzzv
组胺	zuan
组办	zubj
组编	zubm
祖产	zuij
足赤	zuii
祖德	zude
租佃	zudm
组雕	zudn
卒读	zudu
祖尔	zuer
祖法	zufa
租房	zufg
租费	zufw
组稿	zugc
足光	zugl
租户	zuhu
组画	zuhx
阻抗	zukh
组块	zukk
足乐	zule
族类	zulw
祖龙	zuls
祖罗	zulo
祖率	zulv
阻难	zunj
阻尼	zuni
租钱	zuqm
阻燃	zurj
租让	zurh
祖述	zuuu
足爽	zuul
租税	zuuv
足癣	zuxr
祖茔	zuyk
钻床	zril
钻地	zrdi
钻工	zrgs
钻骨	zrgu
钻机	zrji
钻谋	zrmz
钻取	zrqu
钻塔	zrta
钻台	zrtd
罪案	zvan
嘴笨	zvbf
罪错	zvco
最多	zvdz
嘴乖	zvgk
醉汉	zvhj
最末	zvmo
嘴勤	zvqb
罪囚	zvqq
嘴山	zvuj
嘴碎	zvsv
嘴损	zvsy
嘴头	zvtz
醉蟹	zvxp
嘴直	zvvi
嘴子	zvzi
遵奉	zyfg
尊号	zyhc
尊亲	zyqb
尊翁	zywg
鳟鱼	zyyu
尊者	zyve
柞村	zocy
坐待	zodd
做活	zoho
佐酒	zojq
坐具	zoju
佐凯	zokk
佐拉	zola
座狼	zolh
佐宁	zonk
左迁	zoqm
做亲	zoqb
左倾	zoqk
左权	zoqr
作色	zose
坐堂	zoth
作痛	zots
左舷	zoxm
做小	zoxn
作协	zoxp
作兴	zoxk
作哑	zoya
作阳	zoyh
作乐	zoyt
左云	zoyy
左爪	zovc
座钟	zovs
坐罪	zozv
	
	
